FrameId,Id,X,Y,Width,Height,Confidence,Class
3,1,474.776025,663.095122,237.663259,221.645800,0.704666,0
3,2,831.155587,715.746762,160.277285,164.220445,0.476589,0
3,3,618.612983,414.363648,152.462172,188.315311,0.531023,0
3,4,461.438154,233.597049,208.648818,258.185571,0.536997,0
3,5,562.621666,685.760122,183.906239,199.926300,0.413148,0
3,6,1131.005382,420.872539,138.139132,166.612734,0.311679,0
4,1,474.125002,664.893165,237.847059,221.575601,0.705174,0
4,2,830.775748,716.695560,160.821391,164.741223,0.463496,0
4,3,610.912318,425.556883,147.697811,182.112929,0.301299,0
4,4,461.335643,225.465438,229.911892,285.150260,0.523878,0
4,5,564.008889,685.976028,183.801536,199.770910,0.445353,0
5,1,475.253866,666.119429,237.327557,220.890966,0.703290,0
5,2,829.446810,716.262540,162.618464,166.398884,0.484376,0
5,3,617.447954,415.061597,152.271949,187.934740,0.391407,0
5,4,468.350991,220.901070,236.248608,294.663673,0.548417,0
5,5,560.736965,683.818861,186.077250,201.988963,0.413927,0
6,1,479.207644,667.884448,236.398236,219.995361,0.706652,0
6,2,831.040794,717.528421,161.965463,165.529490,0.508067,0
6,3,617.718497,410.244113,153.599682,189.776587,0.521731,0
6,4,475.971361,226.816664,223.747271,279.116761,0.613012,0
6,5,560.716919,683.095563,187.546975,203.467172,0.396813,0
7,1,477.187316,665.609533,239.962566,223.246103,0.702853,0
7,2,828.113748,717.967655,163.795698,167.303485,0.541724,0
7,3,612.258138,411.464728,153.520087,190.259581,0.312656,0
7,4,482.388269,234.770555,208.769502,260.736001,0.605980,0
7,5,557.667956,681.471212,190.014310,206.068170,0.392189,0
8,1,477.842074,666.123139,240.441751,223.738037,0.663601,0
8,2,830.073958,718.108696,163.222229,166.554462,0.539567,0
8,4,485.799133,237.548382,201.244221,251.302745,0.618920,0
8,5,554.105924,682.279767,191.756150,207.664789,0.383628,0
9,1,485.265271,662.871691,242.488204,224.602376,0.647566,0
9,2,828.425280,716.097602,165.030234,168.302392,0.517238,0
9,3,617.747481,427.286214,142.533349,176.809491,0.361843,0
9,4,490.341324,241.226706,198.560285,246.739337,0.601010,0
9,5,551.005102,682.609594,194.000665,209.566230,0.337615,0
10,1,488.224756,662.322000,243.360937,224.244227,0.642479,0
10,2,824.907850,716.023490,169.488425,172.967021,0.557786,0
